,location,floor,floors_count,rooms_count,total_meters,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,street,underground,price_per_square_meter
5680,7,14,17,3,54.0,2016.0,1,0,0,39.0,15.0,2.7,1156,1,222129.0
5682,13,16,19,2,69.9,2024.0,0,0,0,33.2,12.2,2.9,289,1,232740.0
5683,13,8,17,2,51.6,2017.0,1,1,0,29.0,12.0,2.82,1137,1,136627.0
5684,13,12,19,2,74.15,2024.0,0,0,0,32.4,13.6,2.9,289,1,248726.0
5685,13,3,17,2,46.5,2019.0,1,0,0,17.0,18.0,2.82,66,1,188172.0
5687,13,3,17,2,54.5,2020.0,1,0,0,27.0,18.0,2.82,1137,1,201834.0
5689,13,6,17,2,79.8,2014.0,1,2,0,40.0,16.0,2.82,1071,1,194235.0
5697,13,23,25,2,50.9,2013.0,1,0,0,10.6,20.5,2.82,165,1,202357.0
5699,13,22,25,2,59.5,2012.0,1,2,3,32.6,10.8,2.8,361,1,223529.0
5701,13,3,22,2,60.6,2008.0,1,3,3,30.4,10.6,2.8,1145,1,222772.0
5703,13,5,9,2,43.4,1979.0,1,2,0,26.0,6.0,2.6,178,1,140552.0
5709,13,5,5,2,44.6,1970.0,1,1,2,27.1,5.7,2.5,1137,1,164798.0
5712,13,1,5,2,52.3,1970.0,1,0,0,45.3,7.0,2.82,629,1,91778.0
5714,13,3,12,2,52.4,1978.0,1,2,3,35.0,8.5,2.82,285,1,187977.0
5724,13,23,23,2,71.2,2009.0,1,2,0,37.3,12.1,2.82,361,1,120786.0
5727,13,4,26,2,39.3,2021.0,1,2,4,33.3,6.0,2.8,1071,1,198473.0
5729,13,5,9,2,43.9,1971.0,1,1,2,28.0,6.0,2.82,301,1,170842.0
5730,13,8,17,2,67.3,2005.0,1,2,0,34.2,12.2,2.65,411,1,141158.0
5732,13,4,4,2,47.0,2015.0,1,2,0,25.0,14.0,5.5,193,1,162765.0
5733,13,13,17,2,78.2,2003.0,1,2,1,43.0,12.0,2.7,431,1,108695.0
5751,13,5,12,2,55.0,1979.0,1,2,0,29.2,8.1,2.82,501,1,118181.0
5754,13,2,4,2,60.0,2017.0,1,0,2,41.7,18.299999999999997,2.7,823,1,150000.0
5756,13,4,4,2,53.0,2015.0,1,2,2,15.5,10.7,6.0,193,1,154716.0
5758,13,7,14,2,53.7,2000.0,1,2,0,28.7,7.5,2.82,1137,1,139664.0
5761,13,11,12,2,54.0,1985.0,1,2,2,29.0,7.5,2.82,115,1,138888.0
5764,13,4,9,2,50.5,1988.0,1,2,2,28.0,7.5,2.82,637,1,148514.0
5765,13,3,12,2,54.3,1988.0,1,2,2,27.8,8.0,2.65,193,1,138121.0
5767,13,2,18,2,51.1,1975.0,1,0,3,32.0,10.0,2.6,29,1,150489.0
5769,13,1,12,2,51.0,1982.0,1,0,0,29.4,8.5,2.64,1378,1,152941.0
5770,13,4,9,2,43.9,1980.0,1,0,2,27.0,6.0,2.55,193,1,176537.0
5773,13,1,4,2,52.0,2017.0,1,2,2,30.0,12.0,2.7,823,1,157692.0
5775,13,7,17,2,53.9,1997.0,1,1,2,39.9,14.0,2.82,869,1,153061.0
5776,13,4,5,2,59.0,1979.0,1,0,0,32.0,14.0,2.82,112,1,140508.0
5778,13,9,16,2,51.4,1989.0,1,1,2,30.3,8.3,2.7,193,1,161478.0
5782,13,2,17,2,51.2,2006.0,1,2,2,30.0,9.0,2.75,193,1,166015.0
5786,13,11,17,2,58.2,2005.0,1,2,0,35.0,8.2,2.82,411,1,147766.0
5787,13,3,9,2,52.7,1992.0,1,2,2,30.6,8.8,2.7,532,1,166793.0
5788,13,2,17,2,63.7,2013.0,1,2,2,32.7,11.2,2.75,411,1,171899.0
5790,13,16,19,2,71.0,2018.0,1,6,0,32.0,10.0,2.82,389,1,180000.0
5793,13,9,9,2,45.0,1973.0,1,2,2,27.0,7.0,2.7,290,1,153333.0
5795,13,14,26,2,59.8,2017.0,1,5,4,35.0,10.4,2.7,1071,1,157190.0
5796,13,8,9,2,54.0,1980.0,1,2,2,30.0,7.2,2.6,1096,1,164814.0
5798,13,4,4,2,57.7,2017.0,1,2,2,19.2,19.0,5.1,823,1,209705.0
5799,13,6,17,2,60.1,1993.0,1,2,3,34.0,10.0,2.8,597,1,193011.0
5800,13,16,17,2,69.0,2014.0,1,2,2,35.5,10.4,2.75,1071,1,144927.0
5804,13,4,4,2,60.0,2014.0,1,0,2,30.0,14.0,2.8,193,1,180000.0
5805,13,4,17,2,50.3,2018.0,1,0,0,27.0,9.0,2.7,66,1,206759.0
5807,13,17,17,2,49.5,2018.0,1,0,0,26.3,7.8,2.82,66,1,212121.0
5809,13,4,17,2,52.0,2001.0,1,2,2,30.0,10.0,2.75,1378,1,197115.0
5810,13,8,19,2,57.8,2023.0,1,6,2,30.4,11.0,2.82,367,1,153979.0
5811,13,9,22,2,77.0,2019.0,1,2,2,40.5,15.0,2.8,367,1,198701.0
5814,13,9,9,2,44.3,1974.0,1,1,2,38.3,6.0,2.5,597,1,151241.0
5815,13,2,4,2,55.4,2016.0,1,2,2,32.6,9.0,2.9,193,1,198555.0
5816,13,16,16,2,62.0,1989.0,1,2,2,33.8,10.5,2.7,193,1,137096.0
5820,13,7,14,2,50.3,1988.0,1,2,0,30.0,8.0,2.65,1378,1,176938.0
5821,13,3,5,2,41.0,1970.0,1,1,0,28.0,6.0,2.82,1137,1,140243.0
5823,13,6,10,2,60.8,2005.0,1,10,0,31.3,13.6,2.82,115,1,196546.0
5825,13,6,17,2,64.9,2003.0,1,2,0,37.0,11.0,2.82,431,1,142526.0
5827,13,16,22,2,86.6,2015.0,1,6,2,74.6,12.0,3.0,1071,1,226327.0
5828,13,4,4,2,66.3,2017.0,1,2,2,38.0,14.0,3.5,823,1,129562.0
5829,13,1,5,2,54.3,2005.0,1,2,2,34.3,8.4,2.7,965,1,134438.0
5830,13,9,17,2,51.7,2011.0,1,2,2,30.3,9.8,2.65,1071,1,191489.0
5831,13,15,17,2,80.0,2014.0,1,2,0,42.0,19.0,2.82,66,1,151875.0
5832,13,19,25,2,56.6,2013.0,1,2,0,38.0,10.0,2.82,165,1,217314.0
5836,13,18,18,2,73.8,2018.0,1,3,0,34.0,12.5,2.7,389,1,178861.0
5850,19,4,9,5,168.0,2000.0,1,7,3,113.0,18.0,2.7,1247,1,232142.0
5855,19,12,17,5,120.0,1988.0,1,1,3,79.2,10.2,2.7,61,1,331666.0
5871,31,1,5,1,35.2,1979.0,1,1,0,18.9,7.9,2.82,669,1,153409.0
5872,31,16,26,1,25.0,2017.0,1,0,4,22.0,3.0,2.64,766,1,265999.0
5873,31,9,17,1,42.2,2013.0,1,2,0,20.0,8.0,2.82,1418,1,184307.0
5874,31,3,25,1,27.1,2017.0,1,0,0,18.1,9.0,2.64,766,1,298892.0
5876,31,6,14,1,36.0,1976.0,1,2,0,20.0,8.0,2.5,344,1,248611.0
5881,31,13,25,1,42.0,2008.0,1,0,0,31.6,10.4,2.64,995,1,233333.0
5883,31,14,25,1,48.3,2014.0,1,0,4,26.799999999999997,21.5,2.82,137,1,279296.0
5887,31,5,17,1,42.0,2016.0,1,3,2,12.0,17.0,2.8,177,1,180476.0
5888,31,4,14,1,41.5,1975.0,1,2,0,18.2,9.3,2.65,221,1,184337.0
5889,31,8,17,1,43.2,2014.0,1,1,2,18.0,11.2,2.8,1211,1,190972.0
5892,31,18,25,1,42.1,2008.0,1,2,4,17.8,10.5,2.75,482,1,201900.0
5894,31,18,22,1,45.0,2008.0,1,2,2,20.0,10.5,3.0,414,1,211111.0
5896,31,24,25,1,41.0,2017.0,1,0,4,16.0,16.0,2.8,766,1,273170.0
5900,31,1,8,1,36.8,2015.0,1,0,2,30.799999999999997,6.0,2.8,1039,1,169836.0
5902,31,8,9,1,33.6,2018.0,1,2,2,14.4,8.1,2.8,177,1,214285.0
5905,31,5,5,1,34.2,2019.0,1,0,2,20.0,11.0,2.8,261,1,216374.0
5907,31,3,8,1,30.0,2012.0,1,1,2,16.0,9.0,2.82,1039,0,200000.0
5909,31,4,9,1,31.5,1973.0,1,0,2,17.9,6.5,2.82,1240,1,201587.0
5910,31,18,22,1,41.9,2006.0,1,2,2,30.9,11.0,2.66,414,1,190930.0
5912,31,2,26,1,41.4,2017.0,1,0,4,32.4,9.0,2.8,766,1,214975.0
5913,31,12,13,1,36.2,1994.0,1,2,2,18.6,8.6,2.7,482,1,220994.0
5914,31,14,23,1,41.5,2016.0,1,2,4,17.7,10.4,2.7,549,1,216626.0
