,location,floor,floors_count,rooms_count,total_meters,year_of_construction,object_type,have_loggia,parking_type,living_meters,kitchen_meters,ceiling_height,street,underground,price_per_square_meter
1817,1,1,5,2,56.4,1992.0,1,2,2,31.8,10.3,2.5,1369,0,123226.0
1818,1,5,9,2,57.4,2024.0,1,3,2,24.6,14.0,2.72,931,0,155000.0
1820,1,4,9,2,58.8,2024.0,1,3,2,31.5,10.9,2.77,931,0,155000.0
1821,1,12,31,1,33.67,2024.0,0,0,0,13.5,12.5,2.9,1418,1,295515.0
1823,1,7,10,2,71.9,2004.0,1,5,2,22.9,25.7,2.82,137,1,152990.0
1830,1,27,27,2,70.0,2012.0,1,1,4,25.0,12.0,2.82,4,1,542857.0
1832,1,31,42,2,71.0,2023.0,1,0,1,60.0,6.0,2.82,1119,1,577464.0
1838,1,11,20,2,96.9,2024.0,0,0,4,48.3,16.0,2.82,881,1,927760.0
1876,1,1,5,2,50.6,1989.0,1,1,0,28.9,8.4,2.5,222,0,63241.0
1889,1,9,11,1,41.7,2014.0,1,1,0,30.700000000000003,11.0,2.82,1251,0,93525.0
1890,1,5,5,2,45.2,1971.0,1,1,2,29.0,6.7,2.53,627,0,86283.0
1897,1,2,5,2,52.0,1975.0,1,2,0,44.2,7.8,2.5,138,0,78173.0
1907,1,5,9,1,40.0,2003.0,1,2,2,12.0,20.0,2.8,660,0,115000.0
1908,1,6,10,2,44.8,2015.0,1,0,0,31.1,8.0,2.5,480,0,102678.0
1909,1,4,5,1,50.8,2010.0,1,2,2,24.2,10.7,2.7,558,0,90748.0
1914,1,20,20,1,40.0,2024.0,0,0,0,17.1,11.4,2.8,83,0,125741.0
1931,14,13,14,1,37.4,1985.0,1,2,2,17.2,8.2,2.82,662,1,120320.0
1936,14,12,12,1,44.0,2022.0,1,2,1,14.0,15.0,2.7,679,0,168181.0
1943,14,8,9,1,30.99,2024.0,0,0,0,9.7,11.1,2.7,697,1,400774.0
1946,14,3,5,1,39.04,2024.0,0,2,4,10.5,15.8,2.75,620,1,153688.0
1947,14,2,7,1,41.7,2024.0,0,1,0,14.0,18.3,2.7,1418,0,251599.0
1948,14,5,6,1,41.0,2024.0,1,0,2,10.1,23.2,3.2,109,1,706829.0
1950,14,2,8,1,70.3,2022.0,0,1,0,51.5,18.799999999999997,2.82,449,0,227596.0
1955,14,2,5,1,30.0,2021.0,1,2,2,14.0,9.0,2.8,234,1,246666.0
1956,14,14,24,1,36.98,2023.0,0,0,0,15.3,12.4,2.78,1418,0,245970.0
1961,14,13,24,1,34.1,2018.0,1,0,4,16.0,8.0,2.9,1238,1,218475.0
1962,14,1,3,1,29.1,2016.0,1,0,2,21.1,8.0,3.0,5,0,109965.0
1964,14,3,4,1,28.1,2009.0,1,1,2,14.0,8.0,3.0,338,0,135231.0
1965,14,2,12,1,42.1,2024.0,0,1,0,15.8,11.7,2.7,725,0,159799.0
1967,14,3,9,1,29.4,1970.0,1,0,2,15.2,6.7,2.6,224,1,207482.0
1970,14,14,14,1,36.0,2008.0,1,1,2,18.1,6.0,2.7,502,0,105555.0
1978,14,15,22,1,41.41,2022.0,0,1,4,21.409999999999997,20.0,2.7,544,0,138686.0
1980,14,2,15,1,37.8,2024.0,0,0,0,12.3,15.2,2.7,205,0,160900.0
1982,14,2,3,1,26.0,2022.0,1,2,0,18.3,7.699999999999999,2.75,591,0,146153.0
1986,14,6,10,1,36.0,2024.0,0,0,0,16.6,9.5,2.78,349,0,80622.0
1987,14,2,8,1,34.29,2023.0,0,2,1,22.39,11.9,2.7,281,0,97700.0
1989,14,15,16,1,37.5,2018.0,1,1,0,27.5,10.0,2.82,181,0,116000.0
1992,14,15,16,1,40.0,2019.0,1,1,0,20.0,10.0,2.7,212,0,110000.0
1994,14,4,4,1,47.7,2018.0,0,0,0,14.7,23.1,2.8,328,0,95073.0
1995,14,2,18,1,40.6,2016.0,1,1,0,18.0,11.7,2.82,999,0,112068.0
1996,14,11,20,1,50.1,2024.0,0,2,0,17.0,15.1,2.7,839,1,92999.0
1997,14,3,25,1,34.9,2018.0,1,1,0,23.9,11.0,2.82,266,0,134670.0
2002,14,12,13,1,32.3,2023.0,1,0,2,10.0,16.0,2.7,484,0,178018.0
2004,14,5,24,1,37.5,2023.0,1,1,0,27.5,10.0,2.82,318,0,157333.0
2006,14,8,9,1,35.0,1982.0,1,2,2,18.0,8.2,2.58,295,0,168571.0
2008,14,11,16,1,37.3,2011.0,1,1,0,19.2,10.1,2.82,1338,0,162198.0
2009,14,1,16,1,40.3,2013.0,1,1,0,22.299999999999997,18.0,2.82,847,0,151364.0
2012,14,6,25,1,37.0,2022.0,1,1,4,21.0,9.0,2.8,940,0,224324.0
2013,14,12,24,1,32.9,2023.0,0,2,0,12.1,12.7,2.82,854,1,262917.0
2015,14,6,7,1,59.57,2023.0,0,0,0,47.07,12.5,2.82,1414,0,352779.0
2016,14,8,13,1,42.5,2019.0,1,0,4,23.4,6.8,3.2,341,0,823529.0
2019,14,5,5,1,31.0,2018.0,1,1,2,18.0,6.0,2.82,221,0,62903.0
2023,14,7,10,1,25.0,2005.0,1,1,0,12.3,6.7,2.82,635,0,96000.0
2025,14,3,5,1,30.0,2016.0,1,1,0,17.0,8.3,2.82,464,0,83333.0
2026,14,5,5,1,33.3,1984.0,1,2,2,18.0,7.0,2.82,898,0,75075.0
2027,14,3,5,1,30.3,1972.0,1,1,2,18.0,7.0,2.82,634,0,82508.0
2030,14,2,10,1,40.0,2014.0,1,2,2,31.0,9.0,2.7,147,0,72500.0
2033,14,8,9,1,35.6,1986.0,1,1,2,19.0,9.0,2.82,621,0,83707.0
2038,14,9,17,1,37.0,2017.0,1,2,2,27.0,10.0,2.7,1392,0,94054.0
2042,14,4,4,1,45.61,2022.0,0,0,0,35.6,10.009999999999998,2.8,86,0,87480.0
2048,14,3,5,1,40.0,2012.0,1,0,2,27.0,13.0,2.8,935,0,100000.0
2050,14,3,16,1,40.0,2022.0,1,2,0,14.0,16.5,2.75,1418,0,113000.0
2051,14,14,14,1,42.0,2022.0,1,2,2,19.0,13.0,2.5,1285,0,107142.0
2056,10,3,15,1,40.7,2013.0,1,1,2,18.0,12.0,2.82,1418,0,140049.0
2057,10,1,4,1,35.0,2015.0,1,0,0,26.0,9.0,2.82,301,0,85714.0
2059,10,6,6,1,39.3,2023.0,1,1,2,15.6,10.0,2.82,1084,0,114503.0
2060,10,12,15,1,38.0,2023.0,1,2,2,20.0,9.0,2.7,1418,0,97368.0
2062,10,6,16,1,40.5,2014.0,1,0,0,28.5,12.0,2.8,1418,0,132098.0
2063,10,3,6,1,42.8,2009.0,1,2,4,16.0,13.0,2.82,687,0,200467.0
2065,10,11,15,1,38.0,2023.0,1,2,0,18.0,9.0,2.82,1418,0,167105.0
2066,10,5,6,1,40.2,2022.0,1,2,2,16.4,10.3,2.75,1084,0,112437.0
2068,10,6,12,1,45.8,2010.0,1,2,2,21.0,12.0,2.7,1418,0,126637.0
2069,10,4,18,1,36.3,2024.0,0,0,0,20.8,8.7,2.82,1418,0,115702.0
2070,10,15,17,1,37.4,2013.0,1,0,0,18.0,10.0,2.82,1418,0,152406.0
2071,10,14,17,1,38.0,2012.0,1,0,2,16.0,9.0,2.8,1418,0,136842.0
2072,10,1,10,1,36.3,2015.0,1,0,0,19.0,10.0,2.82,1337,1,128099.0
2073,10,16,17,1,36.5,2018.0,1,1,2,20.0,8.0,2.5,1418,0,167123.0
2075,10,5,6,2,51.4,2019.0,1,5,2,28.6,10.0,2.7,1084,0,130350.0
2076,10,8,17,2,62.1,2010.0,1,2,2,27.0,15.0,2.7,539,0,119162.0
2079,10,3,5,2,50.7,1974.0,1,1,2,29.0,7.2,2.7,1418,0,116370.0
2081,10,13,17,2,57.0,2016.0,1,1,2,32.7,11.1,2.7,1418,1,217368.0
2082,10,3,14,2,76.0,2015.0,1,2,2,36.0,21.0,2.8,539,0,85526.0
2084,10,14,16,2,56.3,2023.0,1,2,2,28.0,10.0,2.7,1418,0,88809.0
2087,10,7,10,2,41.0,2015.0,1,2,4,25.0,16.0,2.8,1337,0,168292.0
2088,10,8,18,2,69.6,2014.0,1,6,0,33.1,11.3,2.8,1418,0,137931.0
2089,10,6,14,2,45.1,2014.0,1,1,2,19.9,10.0,2.8,539,0,145232.0
2090,10,5,9,3,76.6,2015.0,1,6,3,35.0,15.0,2.82,1337,0,135117.0
2092,10,12,17,3,64.0,2011.0,1,2,2,54.0,10.0,2.82,539,0,117187.0
2093,10,9,9,3,88.0,2015.0,1,5,4,68.0,20.0,2.9,1337,0,112373.0
2094,10,11,15,3,73.3,2023.0,1,2,2,52.0,9.0,2.7,1418,0,84583.0
2095,10,4,5,3,74.2,2016.0,1,0,4,55.0,12.0,3.0,669,0,309973.0
2096,10,13,15,3,75.2,2023.0,1,2,0,67.0,8.2,2.82,1418,0,86436.0
2100,10,10,15,3,75.1,2023.0,1,1,2,49.5,8.5,2.7,1418,0,77896.0
2101,10,1,4,3,59.4,1970.0,1,0,2,44.5,6.0,2.82,510,0,77441.0
2102,10,14,17,3,84.4,2023.0,1,2,2,40.4,11.8,2.9,1418,0,81753.0
2104,10,9,10,3,77.0,2015.0,1,1,4,45.0,7.5,2.8,1337,0,155844.0
2106,10,10,15,1,24.4,2023.0,1,0,2,17.0,7.399999999999999,2.82,1418,0,122540.0
2108,10,2,11,1,18.5,2018.0,1,0,2,12.0,3.0,2.8,1418,0,172972.0
2109,10,5,8,1,31.2,2015.0,1,0,4,17.0,8.0,2.82,1337,1,169871.0
2110,10,5,6,1,35.0,2014.0,1,0,0,5.0,25.0,2.82,563,0,171428.0
2111,10,9,15,1,26.0,2023.0,1,0,2,17.0,6.0,2.7,1418,0,173076.0
2113,10,1,16,1,29.0,2018.0,1,2,4,23.0,6.0,2.82,1013,0,134482.0
2117,10,4,15,1,26.6,2023.0,1,0,2,20.0,3.0,2.82,1418,0,124060.0
2120,10,5,15,1,28.5,2023.0,1,0,2,20.0,4.0,2.82,1418,0,110526.0
2123,10,15,17,1,25.7,2024.0,0,1,2,18.6,7.099999999999998,2.75,1418,0,136186.0
2124,10,5,7,1,29.1,2022.0,1,2,4,17.0,12.100000000000001,2.82,452,0,189003.0
2126,10,3,18,1,28.0,2021.0,1,0,2,20.8,7.199999999999999,2.7,1418,0,153571.0
2127,10,9,12,1,27.1,2018.0,1,1,2,19.0,8.100000000000001,2.82,1418,0,164206.0
2131,0,5,17,2,53.7,2024.0,0,0,0,20.9,16.1,2.72,1405,1,190999.0
2132,0,6,16,2,56.5,2001.0,1,1,2,30.0,8.0,2.75,1418,1,138053.0
2134,0,14,25,2,58.7,2013.0,1,1,2,28.0,14.0,2.6,785,1,143100.0
2136,0,16,17,2,61.0,2016.0,1,2,0,31.0,15.0,2.7,695,1,144262.0
2137,0,18,22,2,42.7,2024.0,0,0,3,22.1,12.7,2.74,121,1,227921.0
2138,0,11,22,2,52.0,2019.0,1,2,2,31.0,10.0,2.7,121,1,169230.0
2139,0,16,22,2,43.4,2024.0,0,0,3,22.1,12.6,2.74,121,1,238994.0
2140,0,10,17,2,64.0,2014.0,1,5,0,39.0,13.0,2.74,547,1,140617.0
2142,0,7,25,2,64.0,2013.0,1,2,0,52.6,11.4,2.8,785,1,139062.0
2144,0,6,19,2,60.0,2014.0,1,1,2,44.0,11.0,2.7,211,1,158333.0
2146,0,2,25,2,62.8,2013.0,1,2,2,35.0,11.0,2.7,1418,1,152866.0
2148,0,25,25,2,65.5,2015.0,1,2,3,33.0,17.0,2.75,619,1,148091.0
2150,0,2,22,2,61.4,2022.0,1,2,2,38.0,10.1,2.7,554,1,165309.0
2154,0,3,17,2,60.3,2012.0,1,6,2,33.7,12.9,2.74,547,1,177446.0
2156,0,9,25,2,63.6,2012.0,1,5,2,34.6,16.5,2.75,1268,1,176100.0
2158,0,6,17,2,70.1,2014.0,1,2,2,40.0,16.7,2.85,122,1,161198.0
2159,0,5,5,2,44.7,1971.0,1,1,2,29.0,6.0,2.82,594,1,140939.0
2163,0,14,17,2,58.1,2007.0,1,3,0,38.0,13.0,2.8,1418,1,197934.0
2164,0,6,9,2,50.3,1980.0,1,2,2,31.0,8.1,2.7,184,1,135188.0
2167,0,9,22,2,57.4,2024.0,0,0,3,25.7,21.5,2.74,121,1,237897.0
2168,0,4,22,2,35.6,2018.0,1,2,2,15.0,6.0,2.7,1407,1,195224.0
2169,0,11,17,2,58.0,2010.0,1,6,3,30.4,12.9,2.7,710,1,153431.0
2173,0,8,19,2,42.4,2011.0,1,2,2,23.0,8.0,2.7,590,1,169811.0
2176,0,3,25,2,50.4,2022.0,1,0,2,39.4,11.0,2.64,545,1,267857.0
2177,0,19,24,2,84.3,2009.0,1,2,2,41.2,14.4,2.85,289,1,172004.0
2179,0,3,5,2,44.0,1971.0,1,1,0,29.0,6.0,2.64,289,1,110227.0
2191,0,5,5,2,42.0,1972.0,1,1,2,32.0,6.0,2.82,898,1,121428.0
2199,0,1,5,2,45.5,1970.0,1,0,2,32.0,5.0,2.7,1417,1,114285.0
2205,0,4,5,2,43.8,1970.0,1,1,0,32.8,6.0,2.82,501,1,122146.0
2206,0,16,17,2,57.0,2006.0,1,6,2,31.0,9.5,2.7,570,1,129824.0
2207,0,8,17,2,60.0,2006.0,1,6,2,40.0,13.0,2.7,570,1,140000.0
2210,0,14,17,2,63.0,2007.0,1,3,2,37.0,12.0,2.74,1418,1,182539.0
2211,0,1,17,2,58.6,2014.0,1,0,2,33.8,10.7,2.75,550,1,120307.0
2216,0,1,9,2,46.9,1970.0,1,0,2,32.0,6.0,2.5,501,1,149253.0
2217,0,4,17,2,63.1,2019.0,1,6,2,32.3,12.9,3.0,323,1,126782.0
2219,0,16,16,2,59.1,2004.0,1,2,2,30.7,10.7,2.5,195,1,147208.0
2220,0,1,4,2,52.8,2013.0,1,0,0,31.0,8.5,2.82,421,1,130681.0
2223,0,13,18,2,44.0,2020.0,1,1,2,23.0,9.0,3.0,98,1,170454.0
2226,0,7,12,2,44.6,1977.0,1,1,0,29.0,6.0,2.5,1417,1,143497.0
2231,0,3,5,2,43.0,2014.0,1,1,2,27.0,6.0,2.5,711,1,130232.0
2242,0,1,5,2,43.0,1972.0,1,0,2,28.0,6.0,2.82,501,1,132558.0
2244,0,5,5,2,46.6,1979.0,1,1,2,30.0,6.0,2.82,432,1,122317.0
2254,0,10,20,2,36.0,2021.0,1,0,3,22.0,6.0,2.8,121,1,161111.0
2255,0,3,5,2,43.2,1975.0,1,1,0,26.0,5.8,2.82,526,1,178240.0
2256,0,6,9,2,45.0,1976.0,1,1,2,27.0,5.5,2.6,310,1,146666.0
2260,0,17,17,2,63.1,2015.0,1,6,2,31.9,12.8,2.82,371,1,122377.0
2261,0,5,24,2,52.8,2020.0,1,2,2,30.4,11.2,2.7,384,1,151515.0
2262,0,12,16,2,55.3,2016.0,1,2,2,38.0,15.0,3.2,675,1,159674.0
2264,0,11,17,2,44.7,2020.0,1,1,0,22.4,8.4,2.82,1287,1,172259.0
2265,0,6,9,2,46.8,1975.0,1,1,2,27.0,6.0,2.7,594,1,177350.0
2267,0,3,21,2,42.0,2018.0,1,0,4,24.0,5.0,2.7,688,1,153571.0
2269,0,1,9,2,48.0,1997.0,1,2,2,27.9,8.7,2.6,1413,1,155208.0
2270,0,6,9,2,53.0,1989.0,1,2,0,30.0,8.0,2.64,131,1,150943.0
2272,0,8,10,2,64.1,2005.0,1,2,2,36.2,12.0,2.7,209,1,138845.0
2274,0,9,21,2,62.7,2018.0,1,2,2,32.0,17.0,2.8,1407,1,125996.0
2275,0,6,9,2,47.1,1985.0,1,1,2,28.2,6.9,2.5,501,1,150743.0
2277,0,17,23,2,54.0,2022.0,1,1,2,32.7,9.2,2.8,554,1,133333.0
2278,0,10,14,2,46.1,1984.0,1,2,2,24.8,8.6,2.7,929,1,134056.0
2280,0,10,21,2,49.3,2023.0,1,1,0,21.4,9.5,2.82,1371,1,168864.0
2281,0,1,9,2,52.1,1980.0,1,2,2,31.9,9.0,2.7,184,1,136257.0
2284,0,9,10,2,64.0,2007.0,1,2,3,36.1,11.9,2.6,209,1,110937.0
2289,0,7,9,2,44.0,1972.0,1,0,0,28.0,6.0,2.82,501,1,147727.0
2290,0,8,9,2,43.0,1984.0,1,1,2,37.0,6.0,2.82,526,1,169767.0
2292,0,13,22,2,56.7,2015.0,1,2,0,34.0,11.0,2.82,620,1,153439.0
2293,0,4,17,2,63.7,2016.0,1,6,2,32.6,12.9,2.7,371,1,117828.0
2300,0,3,17,2,53.0,2011.0,1,2,2,43.0,10.0,2.75,899,1,150924.0
2302,0,10,17,2,60.0,2008.0,1,2,0,24.0,25.0,2.82,26,1,140000.0
2305,0,4,9,2,44.5,1987.0,1,2,0,30.0,6.2,2.82,526,0,155056.0
2306,0,11,22,2,62.3,2014.0,1,2,3,29.9,15.0,2.58,211,1,130016.0
2307,0,2,9,2,44.0,1973.0,1,1,0,28.3,6.6,2.82,631,1,156818.0
2308,0,14,14,2,51.3,1987.0,1,2,2,30.0,8.0,2.7,1418,1,136452.0
2311,0,5,9,2,42.7,1979.0,1,2,2,30.0,7.0,2.7,343,1,166276.0
2312,0,2,16,2,51.4,1984.0,1,2,0,28.2,8.7,2.82,675,0,161478.0
2314,0,16,17,2,45.7,2022.0,1,2,0,22.0,9.3,2.7,98,1,175054.0
2315,0,3,9,2,48.0,2005.0,1,0,0,42.0,6.0,2.8,411,0,144791.0
2316,0,5,19,2,58.0,2014.0,1,1,0,32.0,9.0,2.75,211,1,136206.0
2317,0,14,14,2,47.0,1976.0,1,2,2,41.0,6.0,2.6,340,1,148936.0
2318,0,2,17,2,42.1,2012.0,1,2,2,22.0,13.0,2.8,384,1,154394.0
2319,0,5,14,2,55.0,1988.0,1,3,2,30.0,8.2,2.8,438,1,144545.0
2320,0,17,17,2,53.4,2005.0,1,2,3,29.0,8.6,2.8,195,1,149794.0
2322,0,16,17,2,56.3,2003.0,1,1,3,31.0,8.0,2.7,1141,1,145648.0
2323,0,1,17,2,68.8,2009.0,1,2,2,34.4,12.6,2.9,26,1,120639.0
2324,0,11,19,2,47.3,2012.0,1,0,4,40.3,7.0,3.0,1418,1,131078.0
2328,0,16,17,2,57.7,2003.0,1,2,0,30.0,12.0,2.7,1418,1,143847.0
2329,0,1,17,2,58.0,2010.0,1,6,2,32.0,10.0,2.7,547,1,146379.0
2332,0,14,25,2,59.8,2013.0,1,2,0,44.8,15.0,2.82,785,1,137123.0
2334,0,14,25,2,59.8,2013.0,1,1,0,39.0,15.0,2.82,785,1,142140.0
2335,0,4,22,2,60.3,2021.0,1,0,2,27.0,17.0,3.0,121,1,140961.0
2336,0,5,20,2,49.0,2020.0,1,0,0,27.0,10.0,2.82,721,1,163061.0
2337,0,5,17,2,51.1,2007.0,1,2,2,32.0,10.0,2.7,570,1,150684.0
2338,0,1,3,2,60.0,2016.0,1,2,2,33.5,11.0,2.82,606,1,115000.0
2339,0,17,22,2,56.3,2014.0,1,0,2,28.0,9.0,2.82,688,1,141207.0
2340,0,13,19,2,56.0,2015.0,1,1,0,30.0,12.0,2.82,211,1,133928.0
2343,0,14,17,2,48.0,2019.0,1,2,0,26.0,10.0,2.82,1287,1,177083.0
2344,0,7,9,2,53.9,1997.0,1,2,0,34.1,7.8,2.6,1418,1,161410.0
2346,0,13,18,2,51.5,2021.0,1,2,2,31.7,8.7,2.8,1407,1,155339.0
2348,0,2,9,2,56.8,1980.0,1,2,2,31.0,7.0,2.6,1417,1,117077.0
2351,0,1,17,2,43.6,2021.0,1,0,0,25.1,18.5,2.82,98,1,155963.0
2352,0,9,14,2,65.4,2012.0,1,6,2,38.8,9.7,2.8,1418,1,129969.0
2353,0,7,18,2,51.5,2021.0,1,2,2,31.3,8.6,2.8,1407,1,165048.0
2355,0,23,27,2,56.8,2015.0,1,2,2,32.0,11.0,2.5,631,1,154929.0
2356,0,5,17,2,74.1,2014.0,1,6,2,35.0,12.2,2.8,643,1,112010.0
2358,0,16,16,2,60.4,2006.0,1,2,2,33.0,11.0,2.8,1178,1,137417.0
2361,0,5,22,2,55.7,2014.0,1,1,2,30.7,10.0,2.82,211,1,148994.0
2363,0,7,9,2,52.4,1988.0,1,2,2,28.1,9.3,2.48,1418,1,133587.0
2365,0,16,17,2,53.5,2022.0,1,2,2,31.4,11.0,2.82,1407,1,131775.0
2370,0,2,5,2,51.5,1978.0,1,2,2,30.0,7.0,2.75,459,1,159223.0
2371,0,19,26,2,56.5,2015.0,1,2,2,36.0,10.0,2.7,211,1,150442.0
2373,0,6,9,2,42.4,1973.0,1,1,2,27.6,5.5,2.7,631,1,153301.0
2374,0,17,20,2,49.3,2018.0,1,2,2,25.0,11.0,2.7,1407,1,147058.0
2376,0,4,9,2,50.2,1977.0,1,2,0,37.0,6.5,2.82,452,1,143426.0
2377,0,2,14,2,42.6,1983.0,1,2,2,33.6,9.0,2.82,929,1,157276.0
2378,0,5,9,2,45.0,1976.0,1,1,2,35.0,8.0,2.85,295,1,162222.0
2379,0,2,16,2,45.9,1987.0,1,2,2,25.9,6.6,2.65,472,1,184531.0
2383,0,11,27,2,58.0,2015.0,1,1,2,30.0,15.0,2.7,211,1,125689.0
2384,0,1,9,2,45.0,1975.0,1,2,2,22.0,6.0,2.82,459,1,148888.0
2385,0,8,17,2,57.5,2006.0,1,2,2,31.0,13.0,2.7,570,1,132173.0
2386,0,12,22,2,58.6,2012.0,1,2,2,29.0,10.5,2.78,372,1,136518.0
2387,0,2,17,2,47.6,2020.0,1,0,0,38.6,9.0,2.82,98,1,160714.0
2388,0,4,9,2,47.0,1977.0,1,2,2,33.0,7.0,2.7,594,1,168085.0
2389,0,2,18,2,60.0,2014.0,1,5,0,32.0,12.9,2.8,900,1,140833.0
2390,0,3,4,2,55.5,2013.0,1,1,2,30.8,9.0,2.82,421,1,142342.0
2394,0,5,17,2,56.1,2006.0,1,2,0,30.0,8.0,2.65,1418,1,151336.0
2395,0,8,9,2,50.8,1997.0,1,2,0,30.5,8.8,2.3,594,1,149606.0
2396,0,5,9,2,48.0,1981.0,1,2,3,31.0,7.3,2.7,501,1,164583.0
2397,0,4,17,2,67.6,2014.0,1,1,0,35.0,12.0,2.82,122,1,109467.0
2400,0,1,4,2,75.0,2019.0,1,0,0,35.0,25.0,2.82,685,1,113266.0
2402,0,3,17,2,57.5,2006.0,1,1,2,26.1,12.8,2.82,570,1,138260.0
2403,0,7,17,2,54.1,2011.0,1,2,0,30.3,9.0,2.8,308,1,146025.0
2404,0,7,19,2,48.2,2016.0,1,1,0,36.7,11.5,2.5,620,1,165975.0
2406,0,12,12,2,54.0,1984.0,1,2,2,31.0,9.0,2.82,472,1,148148.0
2408,0,7,14,2,54.9,1986.0,1,2,2,30.0,8.1,2.55,1141,1,145719.0
2409,0,14,18,2,48.5,2019.0,1,2,2,25.8,8.8,3.0,1287,1,164948.0
2410,0,11,25,2,57.84,2014.0,1,2,2,29.9,15.0,2.8,211,1,139177.0
2412,0,8,17,2,55.3,2007.0,1,1,2,26.1,10.7,2.7,570,1,146473.0
2413,0,9,17,2,60.3,2009.0,1,0,2,33.1,11.8,2.82,26,1,135986.0
2415,0,5,14,2,43.6,1987.0,1,1,2,27.0,8.0,2.7,526,1,188073.0
2416,0,16,18,2,47.0,2021.0,1,1,2,23.0,8.5,3.0,98,1,174468.0
2418,0,4,6,2,64.9,2006.0,1,0,0,39.5,10.0,2.5,1417,1,126348.0
2419,0,5,5,2,48.3,1972.0,1,1,2,32.0,5.0,2.7,1418,1,169772.0
2420,0,3,5,2,41.0,1975.0,1,0,0,23.0,6.2,2.82,1410,1,199756.0
2422,0,16,18,2,44.16,2021.0,1,2,0,23.0,8.5,3.0,98,1,185688.0
2423,0,4,4,2,52.5,2014.0,1,2,2,30.7,8.3,2.8,421,1,156190.0
2424,0,3,3,2,54.2,2013.0,1,2,2,34.1,8.8,2.8,421,1,151291.0
2425,0,1,5,2,57.4,1999.0,1,1,2,33.0,10.0,2.75,929,1,142857.0
2427,0,15,16,2,55.0,1991.0,1,6,2,29.0,10.0,2.7,467,1,150909.0
2428,0,9,9,2,50.3,1992.0,1,2,0,31.0,8.8,2.8,383,1,165009.0
2430,0,12,17,2,77.3,2019.0,1,5,2,44.0,27.4,2.8,602,1,107373.0
2431,0,6,9,2,48.8,1987.0,1,2,2,29.3,9.3,2.65,594,1,170081.0
2432,0,9,10,2,64.0,2007.0,1,2,2,35.0,14.0,2.82,209,1,129687.0
2433,0,7,10,2,52.6,2004.0,1,2,0,26.0,19.0,2.82,293,1,157794.0
2434,0,5,17,2,61.0,2009.0,1,2,2,30.3,12.0,2.9,26,1,136065.0
2435,0,13,17,2,51.3,2016.0,1,2,2,30.6,9.6,2.7,371,1,161793.0
2436,0,4,17,2,54.4,2023.0,1,2,3,26.5,11.0,2.8,323,1,154411.0
2437,0,8,14,2,55.3,1999.0,1,2,0,35.8,8.6,2.82,472,1,151898.0
2438,0,2,19,2,59.0,2013.0,1,6,2,35.0,12.0,2.5,785,1,143898.0
2439,0,16,25,2,53.0,2024.0,1,2,2,40.0,8.0,2.7,721,1,158490.0
2440,0,10,10,2,54.6,2000.0,1,2,2,27.0,11.0,2.7,1418,1,155677.0
2441,0,13,21,2,55.1,2022.0,1,2,2,33.0,10.0,2.8,554,1,154264.0
2442,0,6,20,2,61.2,2021.0,1,0,2,30.0,12.0,2.7,121,1,138888.0
2443,0,14,16,2,31.5,2023.0,1,0,0,10.0,16.5,2.75,545,1,269841.0
2444,0,5,10,2,58.1,2002.0,1,2,2,33.5,10.0,2.7,26,1,146299.0
2445,0,9,9,2,42.2,1975.0,1,1,2,32.0,6.3,2.65,295,1,201421.0
2447,0,7,25,2,67.0,2006.0,1,6,2,34.0,14.0,2.8,898,1,126865.0
2449,0,4,17,2,52.0,2006.0,1,1,2,30.4,9.7,2.74,631,1,163461.0
2450,0,4,9,2,54.2,2004.0,1,1,0,11.6,25.7,3.0,898,1,156826.0
2451,0,7,20,2,55.0,2022.0,1,1,2,32.0,11.6,2.8,1418,1,156363.0
2453,0,4,5,2,42.6,1976.0,1,0,0,23.0,6.5,2.82,1410,1,200704.0
2454,0,10,17,2,60.0,2016.0,1,6,3,29.0,12.0,2.7,122,1,145000.0
2455,0,7,20,2,60.0,2016.0,1,2,2,32.0,12.0,2.7,695,1,144166.0
2456,0,2,25,2,63.0,2014.0,1,2,0,51.0,12.0,2.82,1371,1,137301.0
2457,0,1,17,2,48.0,2019.0,1,0,3,22.0,11.0,2.8,1287,1,181229.0
2458,0,14,17,2,50.9,2015.0,1,2,0,30.5,10.0,2.82,547,1,170923.0
2459,0,13,16,2,60.0,2006.0,1,1,0,33.0,12.0,2.82,390,1,144166.0
2460,0,3,25,2,62.2,2015.0,1,9,3,32.0,14.0,2.8,619,1,143070.0
2461,0,5,18,2,46.8,2019.0,1,2,2,21.8,11.7,2.7,289,1,188034.0
2463,0,14,17,2,64.0,2010.0,1,3,2,34.0,12.8,2.7,710,1,139062.0
2464,0,17,18,2,53.7,2013.0,1,2,2,28.7,9.1,2.75,411,1,165735.0
2465,0,18,25,2,59.7,2013.0,1,2,0,40.7,14.0,2.7,785,1,150586.0
2467,0,9,14,2,62.0,2014.0,1,6,3,32.0,13.0,2.7,547,1,145145.0
2469,0,7,25,2,63.5,2013.0,1,2,0,30.0,11.4,2.82,785,1,140157.0
2471,0,18,18,2,54.9,2012.0,1,1,0,28.7,9.0,3.0,411,1,163023.0
2472,0,11,17,2,55.3,2008.0,1,2,2,25.8,18.6,2.82,664,1,162567.0
2473,0,5,17,2,58.6,2014.0,1,0,0,33.0,13.0,2.74,547,1,151877.0
2474,0,3,17,2,52.0,2007.0,1,1,2,30.5,9.5,2.74,1418,1,173076.0
